horizon,model,valid_r2,valid_rmse,valid_mae,test_r2,test_rmse,test_mae
1,XGBoost,0.9410700534427141,85.9896538736623,50.58576698792287,0.7191677630685469,1220.9152855921516,442.9521294192991
1,Random Forest,0.9674313209354752,63.92610584093979,31.913596380915333,0.804259734445282,1019.3002670251288,365.27353297094794
1,Gradient Boosting,0.9691754332607718,62.19087507229963,42.327337387365574,0.8281335257368433,955.119331630484,347.53723976104334
1,Ridge,0.7286384421750233,184.52377850013468,109.60148551197287,0.7695372941442967,1106.0184703982836,482.17507494298883
1,Linear,0.7283559743378094,184.61979150263863,109.652467733534,0.7693049635221779,1106.5758213801003,482.34312680457225
2,XGBoost,0.8730260505066518,126.28719265021742,81.67288403633313,0.628232410089755,1407.4185548860717,597.8360154235247
2,Random Forest,0.9625051443457887,68.6258659868705,33.92855743031938,0.6865205939251967,1292.3853219334276,478.86554091177504
2,Gradient Boosting,0.9176331099157131,101.71343685144981,61.27268500155809,0.6848627122934969,1295.7982996586763,509.79185493655626
2,Ridge,0.5169553069895552,246.3177179756709,140.92735011023154,0.5181588554211871,1602.2838312028407,674.9625336695726
2,Linear,0.5167354349586986,246.37377098290568,140.94681656717663,0.5179674369457083,1602.6020649992004,675.0993493681658
3,XGBoost,0.8126303640986021,153.4737985217215,88.09893857515775,0.4227778957353555,1757.075878120841,773.7536190498166
3,Random Forest,0.9288361311929572,94.58328878268722,49.43947508941792,0.5546092991576158,1543.4395064298078,591.1728382540277
3,Gradient Boosting,0.9071295141086981,108.04968238712817,64.00397518161084,0.5072946567559429,1623.3519080461133,667.881304915494
3,Ridge,0.3284675746101432,290.54816008716216,158.3628505819191,0.246442941737262,2007.5996476366313,821.9607259547294
3,Linear,0.32800149224178876,290.64897121733634,158.4200228112272,0.24576555655966603,2008.5017775767976,822.2969697406394
4,XGBoost,0.7405372637238685,180.67783621177605,111.4973645332532,0.32481167619181384,1903.989174533725,755.4548931495816
4,Random Forest,0.8743921950367601,125.71169931962315,64.7062650781618,0.4599688994870126,1702.791207378664,695.2053542663128
4,Gradient Boosting,0.8539515174773268,135.55511456476142,80.58351787095461,0.4190166960925056,1766.1754312139972,777.4324279544387
4,Ridge,0.22663968382822008,311.9308477257544,166.66768773901612,0.07536474079924205,2228.1131323195846,900.818525571121
4,Linear,0.22649113585134473,311.96080431293467,166.7231521402043,0.07513125911262608,2228.3944274412943,901.0836357444696
5,XGBoost,0.7094752365575513,191.26253261914601,118.35516846485628,0.21399817551209888,2058.2807374917547,745.3326767794605
